text,class
And yet it's usually the liberal democrats who are in favor of murdering innocent children...,sarc
"But that is a misunderstanding of what the big bang theory is. What it isn't is an explosion. I don't suppose you have actually studied any astrophysics or astronomy upon which you base your rejection of the big bang, have you?",sarc
"Nearly all animal phyla* made their first appearance in the fossil record at essentially the same time, an interval of some 5 million years [ET**] (about 525 to 530 million years ago [ET**]) called the ""Cambrian Explosion.""51   Scientists have found that these early fossils exhibit more anatomical body designs than exist today, and that early animals, the trilobites, had eyes as fully developed as their counterparts today.38   Many of the Cambrian fauna, still survive today, all looking much like they did over 500 million [ET**] years ago. The prominent British evolutionist, Richard Dawkins, comments, ""... [W]e find many of them already in an advanced state of evolution, the very first time they appear. It is as though they were just planted there, without any evolutionary history.""51   Two places in the world that have an abundance of early (Cambrian) fossils; the Burgess Shale in the Canadian Rockies and the Chengjiang site in China.38   In Stephen J. Gould's popular book, Wonderful Life, he points out that the Burgess Shale Cambrian fossils include ""a range of disparity in anatomical design never again equaled, and not matched today by all the creatures in the world's oceans.""38   Further, these fossils contain some twenty to thirty kinds of arthropods*** that cannot be placed in any modern group. The modern arthropods, consisting of almost a million species, can all fit into four major groups. But ""one quarry in British Columbia, representing the first explosion of multicellular life, reveals more than twenty additional arthropod designs."" Today there are about 38 phyla in existence, but the Canadian, Chinese and other Cambrian sites reveal over fifty phyla.38   There has been a decrease in diversity (probably due to global catastrophes). This is the reverse of what evolutionary theory predicts.38   Besides diversity, the Burgess Shale shows exquisite detail, right down to ""the last filament of a trilobite's gill,"" or the last meal in a worm's gut.38   The Chengjiang site has even greater detail, and is earlier. According to Paul Chien, the chairman of the biology department at the University of San Francisco, said the preservation is such that internal organs, nerves, and even the water ducts of jellyfish are observable.38   Researchers found striking similarities between the compound eyes of the Cambrian trilobites and those of modern insects. According to Riccardo Levi-Setti, ""Trilobites could see in their immediate environment with amazingly sophisticated optical devices in the form of large composite eyes. ... The number of individual optical elements in the compound eye could vary from approximately one hundred to more than fifteen thousand in a single eye, a range not very different from that found in modern insects.""38   The conclusion is that the eye, a complex visual system, was fully formed and functional extremely early in the fossil record. Obviously, this is not predicted by evolutionary theory.38   Until recently, the phylum of vertebrates had been considered a later arrival in evolutionary history. But not now! Even the vertebrate phylum now extends into the Cambrian period, especially with the recent discovery of two fossil fish in China.51   The two new fossils . . . from Chengjiang are the most convincing Early Cambrian vertebrates ever found. The insects and other land invertebrates are also a very important group, and these practically all seem to be living fossils.51   These complex animals were present at the beginning of multicellular life and did not appear later as is predicted by evolutionary theory.38   Evolution does not explain the abrupt appearance of complex forms of life early in the fossil record or these fossils' unequaled diversity. The implication of the Cambrian explosion of diverse, fully functional, and multicellular life is that evolutionary theory is falsified.38   Life did not start out simple and evolve into more complex and diverse animals; it was complex and diverse right at the beginning. This contradiction between the fossil data and the predictions of evolutionary theory falsifies the theory.38   ""The facts of paleontology seem to support creation rather than evolution. All the major groups of invertebrates appear suddenly in the first fossiliferous strata. (Cambrian) of the earth with their distinct specializations, indicating that they were all created at almost the same time."" - David Enock Associate Professor of Biology. BS Yeshiva College, MS Hunter College50   Even George Gaylord Simpson, Harvard high priest of evolution had to admit, “In spite of the examples, it remains true (as every paleontologist knows) that most new species, genera and families appear in the record suddenly, and are not led up to by known, gradual, completely continuous transitional sequences.”50   http://www.straight-talk.net/evolution/explosion.htm",notsarc
What I find hard to believe is that politicians will place their decision above the right to life of a human person only for political expediency.,notsarc
I'm glad to see you've finally come around.,notsarc
"I see -- in your opinion is it is ""illegitimate"", therefore it must be so. I think I trust the legal opinions of the courts more, but then, they do occasionally make mistakes. It's just not at all obvious they've made one in this instance.",sarc
"Well, one person got it right...where in the constitution does it say something about health having to be protected?",notsarc
And the comments section is usually where the real comedy lies.,sarc
"Assuming this right exists....you could say that you have no right to kill it though, you can only try to starve it.   -You have consented sex and get pregnant. The pregnancy is a direct consequence that was known when having sex.   -You have consented to a stranger coming into your house to eat dinner. The stranger coming in and sitting down and using your plates and eating your food is a direct consequences of you inventing him in for dinner.   -If you say you don't want the unborn to ""live off you"" anymore then the only thing you can do is starve it because you can't kill it as it did nothing that it was not allowed to do until just now.   -You have decided the stranger must go, however, you don't have a right to kill him right there as you didn't give him any reasonable time to leave.",notsarc
But nonetheless fascinating!,notsarc
"Way to make a controversial, unsupported assertion, Winston!",sarc
Can't argue with this illogic.,notsarc
And you believe that to be what? You really need to just say who/what you think the Creator is to save us from having to make all these clarification posts.,notsarc
That is amazing.   I find it crazy that this baby is much younger and smaller and far less developed than many of the babies that are aborted. Abortion is murder.,notsarc
"But when some are ignorant enough to believe in a false science like evolution, which is based on lies and deceptions, they prove right there that they haven't enough knowledge of the truth, nor a sense of discernment that is capable of even determining what is true or a lie. So who are you people to even judge the intelligence of those who will ultimately be proven to have known the truth regarding our origins, to the lies that you so proudly defend?   I say this only so you pseudo intellectuals will have some personal introspection to consider rather than just assuming that you'll get the correct answers by leaning on human understanding. It is incredible that you can't even see that you are bankrupt when you rely on unprovable assumptions that are based on preconceived notions, that have been both failing and conflicting with all of the new discoveries made in each generation to follow, thereby forcing the need to redefine the parameters by which evolution works every 10 years or so.   So evolution isn't a science, it's a working piece of fiction in progress that is constantly being tweaked and shaped to fit the preconceptions no matter what new evidence is discovered that contradicts it.",notsarc
"Ahh. Now I see why you turned into an agnostic, if you even believed Christianity in the first place.",sarc
So cross jurisdictional escort is a fairly common occurrence in the area. You will note that it is not the local cops talking about not being informed....it is the author of the article whining about it.,sarc
"I wouldn't say most cjurches, because you cannot prove that. There is a long list of churches that are accepting of gay folks.",notsarc
"Well, I suppose that the reply it took me almost 5 minutes to type, a couple more to check and a couple to correct will not suffice now.",notsarc
What Would Jesus Carry?,sarc
Yep thats true.   There in separate buildings but right next to each other.   I see it being about as attractive as a crack house next to a school with a revolving door in front.,sarc
