text,class
And yet the article is about a legal matter.,notsarc
Because deer don't live in Africa.,sarc
"I'm not sure what the source of the bias would be. Do you mean that it is somehow prejudicial to link ID with creationism, because, somehow ID is scientific while creationism isn't? But that's just not true. In the Dover case the court concluded that ID isn't science any more than creationism is. In fact, it was clearly demonstrated that the motivation for ID is an effort to disguise the fact that it is nothing more than creationism without the mention of god. Basically, if you scratch an IDer, you get a creationist.",notsarc
"No, hiding as an option has not changed since the days of old, with the slight difference that it used to be easier to get out of range. I'm talking about mace, stun guns, tazers, home security (double glazed windows, rhino locks, burglar alarms, CCTV/fake CCTV, panic rooms) and so on.   Although you are quite right to point out that hiding is an option. Non-confrontation for the win.   Highwaymen? At the time of the Constitution there weren't exactly vast suburbs that could be prowled by thieves looking for an open window. Burglary today is more... casual than it used to be, largely thanks to the wonders of home insurance.   No, unjust laws are still passed. If a group of people decide otherwise they become 'terrorists' and are treated as such. Might may not make right, but it does make legal, and the US government has a lot of might.   If only widespread gun ownership was 'safe'...",notsarc
"So SS. Please explain it all to me. Please show that you are not conclusion jumping and making unwarranted extrapolation based on poor understanding of the material. In other words, show me that you understand by explaining the research to me.   Thanks.",sarc
You stand up for women..   I stand up for the child who has no choice   Who's being descrimatory here?,notsarc
What is your theory about the foot fetish gene ?,sarc
"Or, given that this is about feasts, a waist is a terrible thing to mind.",sarc
My responses are in bold.,notsarc
"So? In your religion's view, everyone sins. Their sin is no greater or more unforgiveable than yours.",notsarc
"I would kind of Like to Discuss your Fascinating use of Caps.   But seriously, your numbers are insane. Somewhere around 8000 gay couples have gotten married in the past couple of years, how in the world do you imagine that they've cost the state hundreds of thousands or millions each? You just made all that up, didn't you?",notsarc
"Well then this doesn't answer my question.   If you have 10 doctors for 100 people (this is just an example) and only 50 of them have health insurance and each doctor gets paid $100 a year then your health care per capita is $10 ([10doctors x $100]/100 people). If you change it to 100 people with health insurance you now have $10 per capita as well because you population did not change. Health care costs are shown per capita and not per person insured: Per Capita Health Expenditures by Country, 2007 &amp;mdash; Infoplease.com   So again, if you go from $6,000 per capita per that website given above to say Switzerland levels at $4,100 per capita then where did that money come from?",notsarc
http://www.nytimes.com/2009/02/24/he...4hospital.html   But a fetus in the womb is far more important than the lives and health of these women.,sarc
"Oh sinj.don't let it get you down,it don't mean nothing   (sorry couldn't help it)",notsarc
Bonus question:   (Can you spot the grammatical error within the quoted text?),notsarc
So you don't believe that life had an origin! WOW so you think its always been present on the Earth? Not even the bible goes that far! And you fail to account for the observation that there IS life.,sarc
But the military is pretty much all a volunteer thing. It's not a hiring process--employer/employee thing. That arrangement lends itself more to the soldier not volunteering for service in the first place.,notsarc
"I believe that's true, and as a ""believer"" (creationist), here is what is hard to understand about that; In Matthew, 12:30, Jesus says ""He who is not with me is against me, and he who does not gather with me scatters"". It is safe to say that both creationists and theistic evolutionists would accept that statement from Jesus, and would seek to be ""with"" him, while agnostic and atheists would consider themselves ""not with"" him. Yet theistic evolutionists are comfortable to (usually politically) be ""with"" agnostics and atheists, and separate themselves from creationists. If they're genuine Christians, knowing about the warnings in the Bible about false teachings, how can they be comfortable with that?   Miller laments in several places throughout the book that atheists use evolution as a weapon against religion, and that it shouldn't be that way - that it causes more strife between the two than should exist.",notsarc
"yea...it's like ordering a pizza. First the paleontologist digs up a bone or other artifact...then he calls the lab, tells them what he found and gives them the date they can expect the bone to arrive for ""testing."" Then the lab asks him from what organism the bone once belonged and also what toppings, I mean dates, he wants for his bone. Then the paleontologist gives him the range of dates that most suit his presuppositions.....Then the paleontologists sends in the bone fed-ex, along with a gift-certificate to the finest steakhouse in town and two tickets to the ballgame, and then sits back and waits for the results. Finally, just to be on the safe side, the paleontologist repeats this scenario with at least 2 more labs...this way just in case one doesn't cooperate he has backup and he can pick a date from any number of labs.",sarc
Do you want them all dead?,sarc
"Oh yes, Mr Behe makes a comfortable living out of selling to the ignorant. His newest book is just a rehash of his old book, and has the very same flaws that have been destroyed over and over again. As for your 'religious authors' being respected.. they are respected perhaps by the fundamentalists that do not understand what science is about.",sarc
"Well, then, I guess that in America we can't possibly be safe from kill-happy gunners can we?",sarc
"Yes, the university one is quite possibly the most nonsensical. I will never understand why people seem to think that the mere presence of a weapon makes it somehow more likely that there is going to be a problem. I have lots and lots of guns, right here at my house. Last year, the murder rate at my house was 0. I think that we can most likely maintain the same this year.   What school are you at?",sarc
But didn't they tell you? They outsourced your job to me!,notsarc
"Oh look, a lie. Imagine my surprise.   Truth: Scientists have extrapolated that the universe expanded from an incredibly dense mass. The Big Bang theory does not posit that this mass ""popped"" into existence; in fact, we have no idea what happened less than 10^-43 seconds after expansion began. It is a common interpretation that there was no time ""before"" the mass existed, therefore the first law of thermodynamics was not violated.",sarc
And Eisenhower:,notsarc
Just like you did with your astounding ignorance of erosion?   Fresh Organic Sample is just as old as centuries old time capsule because they are both on top of the ground!   Where do you buy your South American Villagers Dinosaur commercial art? I'd love to give some to the kids!,sarc
"Some apply logic, some do not. So much for contradictory thinking.   What evidence do you have that suggests logic exists outside of the human mind? Hold the mythology, please.   from infidels.org -   The Concise Oxford English Dictionary defines logic as ""the science of reasoning, proof, thinking, or inference."" Logic will let you analyze an argument or a piece of reasoning, and work out whether it is likely to be correct or not.   It's worth mentioning a couple of things which logic is not.   Firstly, logical reasoning is not an absolute law which governs the universe. Many times in the past, people have concluded that because something is logically impossible (given the science of the day), it must be impossible, period. It was also believed at one time that Euclidean geometry was a universal law; it is, after all, logically consistent. Again, we now know that the rules of Euclidean geometry are not universal.",notsarc
"So is Jesus, aka God, a liar?   Or was not even one of the millions of believers who prayed for Terri Schiavo's life to be saved really God's child? Gee, I wonder how many people out there are being led by a pastor, priest, or what have you, that prayed but God didn't listen because that religious leader is a fraud? Hmmm, maybe the rape or molestation of young boys, adulty, and so on, by religious leaders is more widespread than anyone could have imagined?!?!?!",sarc
What?,notsarc
"You mean, intelligent design, which has been proven in court to be not science, and to be a front for certain religious agenda's, and straight forward arguments based on ignorance of the evidence and logical fallacies.   If you look at the organizations that push I.D. , you will see they have a religious agenda . The discovery institute is funded by religious organizations, and every one of the board will admit they thing the 'intelligent designer' is the Christian god. Read the 'wedge strategy' from them.",sarc
Really. Have you got any quotes from them endorsing monopolies?,sarc
"Well, here's another quote from Allan Feduucia:   ""Feathers are unique to birds, and no known structure intermediate between scales and feathers has been identified."" (J. Alan Feduccia, The Age of Birds, Harvard University Press, 1980, pg. 52)   Sounds contradictory to me!",notsarc
