text,class
"""The Civil War was fought to establish the principle that each person owns his own body - a principle that the pro-life crowd is trying to destroy.""   Each owns his own body? Are you talking about the woman or the child in the womb?",notsarc
"Yet another alleged lie, by the Hillary-haters, shown not to be.",notsarc
"And what does it matter if they're in the army reserve, or a lawyer, a teacher, a doctor?",notsarc
"Well, I think it is best to use a real source. Like the Australian FBI, called the A.I.C..   The latest figures. Violent crimes from 1996 to 2007 (per 100,000 persons per year)   Homicide is pretty much a flat line no? However there violent crime is not. And to be fair, Australia's murder rate has always been significantly lower then ours and they should be congratulated for there socialization for it too.   So if gun related crime goes down but the murder rate remains relatively flat, but other violent crimes go up, then what is thew point of mentioning that GUN Related crime went down?",sarc
"That clearly went whooshing over your head.   It was intended to mock the OP. (Interesting ""new"" bibilical revelation, indeed.)   I don't put any credence in silly comparisons like the trite Kennedy/Lincoln litany that arose in the 60's or the similarly absurd list that INRI posted. They both demonstrate how one can concoct meaningless comparisons in an attempt to invent a non-existent connection between two unrelated events.   It is the same for all ""prophesies"".",notsarc
"Oh, good, I get to do this again! They're not Christians, just like Judge Jones isn't a Lutheran. (Your foot should still be in your mouth over that one, but you never learn.) They're all phonies, aren't they, marc? Lucky for marc, he can accurately assess people's belief systems without knowing the slightest thing about their beliefs. But I have this ""power,"" too:marc is an atheist. Sure, he says all this fundie Christian stuff, but he's really an atheist. I know it in my heart because my own belief system, infallible and based upon the teachings of God himself, tells me so. I know, because I know Christians, and marc's not a Christian. He's just a big phony.   And there you go... atheist. Clearly, I've correctly labeled you, and you are nothing but a false teacher.Pathetic, marc. Absolutely, positively pathetic.",sarc
Because deer don't live in Africa.,sarc
"what other forest? By your logic there would only be one left in the entire world, and it would be what, the size on central park?",sarc
"Well, kind of a boring thread, since everyone agrees, but since I'm new here, I may as well weigh in. Hubby and I have three grown kids and one teen. The grown ones all got the same going-to-college gifts. They got a safe car, a laptop, an emergency credit card, and a personal firearm. I felt this especially important for our daughters.",notsarc
"joke ( P ) Pronunciation Key (jk)   n.   Something said or done to evoke laughter or amusement, especially an amusing story with a punch line.   A mischievous trick; a prank.   An amusing or ludicrous incident or situation.   Informal.   Something not to be taken seriously; a triviality: The accident was no joke.   An object of amusement or laughter; a laughingstock: His loud tie was the joke of the office.   Calm down, kid.",sarc
"You know, I'd believe that more if there were people like the Shindler family who have pushed for federal courts to intervene and destroy the sanctity of marriage. There is nothing you could do or say that would convince me that Americans somehow have any respect for marriage whatsoever. What heterosexuals have done to destroy this institution from the inside out only tells me that heteros are simply spoiled children who have the attitude of:   ""If we can't make it work, we aren't going to allow anyone else to come in and do marriage better.""",sarc
"And he accomplished all this human carnage without a gun. This just proves that if it was possible to eliminate all projectile firing weapons from existing on earth, men would find a way to commit atrocities against his own kind just as he did before such weapons existed if murder was in his heart. Guns are not the issue, the corrupted heart/nature of humanity is.",notsarc
Oh thats not politically kerect and secially wif the chosen one doing the world apology toure I don't see that going down.   Well lay a few on us sin baby. Give us the deal.,sarc
"Doesn't it ever bother you that you have to come up with ridiculous hypothetical sci-fi scenarios to attempt to prove your side?   First of all, do you really think a head on life support is going to ""be no different mentally from someone with a body.""? I would say that would probably mess with somebody's head a bit.   Secondly, you sound like you believe this person who is a head on life support deserves equal rights. They are just as helpless as a fetus in the womb. Are you saying it's okay to murder people who can't think and talk? Do you believe that thinking and talking is what qualifies a person for rights?",notsarc
There goes said intelligence...,sarc
"Oh really, so blowing yourself and a bunch of other innocent people up in the name of Allah is a ""great teaching""?",sarc
I think that I don't have quite enough Tobasco in my Bloody Mary.,sarc
I see. So the Bible is true because you claim it is true.,sarc
"Like, I said, I can't take men's position on abortion seriously b/c they can spout off all they want; however their viewpoint must be affected somewhat by the fact that they will never actually have to make the decision themselves.   As far as circumcision...um...who cares?  J/k. I really don't know what to think about that. Never given it alot of thought, as I've never had a penis, don't plan on growing one, and therefore I can't have a valid point of view. Do whatever feels best to you. Get my drift?   Hey, you two, Clerisian and Steeeve, quit arguing semantics. Geesh!",sarc
"I don't have the time nor the funding to put this in video form like Harris and Dawkins. I don't think many, if any, Christians really do - satire about atheism isn't a strong Christian practice, not nearly as strong as atheist satire about Christianity, it seems. Maybe that's what made Poe's Law so notable in the beginning of this thread.",notsarc
I think if Islamic fundamentalism shows us nothing else it's that...,notsarc
"you're looking at evolution in way too much of a magical and mystical way. Evolution doesn't ""know"" anything. It doesn't have any desires... and... i lack the eloquence to briefly state mechanical (and complete lack of desire) aspects of evolution. i suggest you do research as to how there are no conscious thinking elements in evolution.   Science will never be able to disprove any god because of some flaw science happens to point out. The best individuals can do is, when people try to reason that such perfect organs imply a designer, point out that the design isn't all that perfect after all.   If you want to try and debate flaws in design are evidence against a god... well go ahead... but then i'll just know if i'm ever looking for an easy debate victory i'll just try to find you. At the very best all you are doing is showing that the idea that God created all things perfectly probably isn't true... and even then someone can just point out that apparent flaws we see are simply the ineffable will of god.",notsarc
You got THAT right!!!!!!!!!!!!!!!!!!,sarc
"http://www.nytimes.com/2009/06/25/wo.../25orphan.html   But they are not fetuses, alas, so who gives a damn?",sarc
"Homosexuals are attracted to adults of the same sex.   Pedophiles are attracted exclusively to children.   There are people, such as the case with these priests, who molest children, who are not pedophiles.   Molestation, like rape, isn't about sexual attraction. It is VIOLENCE. People don't molest or rape because they are so turned on they can't help themselves, they do it to HURT somebody.   Get some information before shooting off at the mouth VOR. Most of those priests were probably niether gay nor pedophiles. I HATE IT - when people spread this ****. It is FALSE information that does nothing but HARM. It puts blame on the innocent while the guilty get ignored and children get hurt.   Do not use this lie to justify your bigotry - for you do so at the cost of innocent people - adults and children.",sarc
"A slimey claim you cannot support as usual. In developed Nations, the U.S. is far down the list as has been posted on this very board at least 5 times. Those 'other' Nations also have far more crime and violent crime than the U.S.",notsarc
Read above for why your argument sucks.   Thanks for proving you never ever ever read anything or watch anything given to you.   Just assume whatever we want and hope people don't laugh at us?,notsarc
"I'm not aware that the police used violence in arresting any of the people discussed in this case. Besides, I'm not discussing personal morality here, I'm discussing what should be legal, and what is practical in a society where not everyone shares the same moral views. Government is there to apply limits to what is permitted, based on the will of the people.",notsarc
From that site:,notsarc
"So in other words, you're saying that somewhere along the lines, God changed his mind.",sarc
"So all jellyfish die on the beach?   Hardly.   Let's use this same type of logic though.   A jellyfish is pretty fragile, as you pointed out.   Wouldn't a jellyfish that was very rapidly covered in sediment be broken into many pieces, if not ground to a paste?   Wouldn't this entirely rule out the possibilty of preservation in this manner?",sarc
"And that is more likely than a magical being who poofed everything from nothing, don't you agree?",sarc
Atheists tend to ignore information they don't like also.,sarc
"State-level governments are largely worthless, in my opinion. It is complete absurdity to allow Constitutions to be ammended based on the vote of the people. People as a whole are largely biased, uninformed, and care only about the wellbeing of the majority, persecuting the minority any chance they get. Simply put, the will of the people is too often to benefit the majority and persecute the minority, and this can be seen everywhere throughout history. The will of the people often deserves to be not only ignored but put in a little can and crushed, for the voice of the people is not the voice of the people at all; it is the voice of the majority.   I cannot know the intentions of the creators of the California goverment when they created their judicial system, but if it was anything like the intentions of the founders of our nation, then the judges are doing precisely what it was intended to do: judge laws which persecute the minority, assuring that the government cannot engage in such persecution without a whole lot of effort and not having to fear retaliation. If the point of judges was simply to give in to whatever pesecution 51% of the population wishes to force upon the other 49%, then our government would be tyrannical in no time.   You may feel that a bad precedent was set, but I consider it a far worse precedent for a judge to have given into the majority, to ignore what he feels is a destruction of freedom and equality, simply because it is popular to do so. I would also recommend that the California Constitution be judged based on the fact that it likely has conflicting statements, for example, it may state that everyone must recieve equal protection under the law, of which this is a clear denial.   The California judge would probably not have the authority to refer to the Federal Constitution; it would have to be taken to the Federal Courts for that.",notsarc
"It depends on the particular situation. Some adoption agencies ask about it, and some don't. Most social workers who do home studies are aware that they have gay clients doing adoptions. Some adoptive gay parents are out about it, and some keep it quiet.   There are currently some foreign countries that require adoptive single parents to sign an affadavit that says, ""I am not homosexual."" Those are the rules of some foreign countries, notably China, not the United States or any state.   China has recently placed greater restrictions on prospective adoptive parents. They have sharply limited the opportunities for single people to adopt, and it looks like they may prohibit single-parent adoptions entirely. They have also instituted a weight requirement for all adoptive parents. In the case of a couple, their combined weight has to be below a certain figure or they are not allowed to adopt. No fat people allowed to adopt, which cuts out possibly most Americans.",notsarc
Pretty good considering Darwin wasn't aware of genetics. Too bad Wells is stuck in 1859. The modern synthesis provides perfectly legitimate mechanisms.,notsarc
So the founding fathers and their work is basicy viewed as an authority based on their competence?,notsarc
"To me, your point would be easier to decipher if you made a long story short.   I'd rather read your point of view on the subject, without reading a mini -series of someone who wan't me to feel sorry for them.   Do people who choose to have an abortion expect a welcoming committee?",sarc
"And of course, the sea of Montalban's assertions as science, the sea of Montalban's out of context quotes, or the sea of Montalban's misrepresentations of what others have said. It seems that Montalban knows the ""TROOTH"" and won't be discouraged with facts. Sadly, Montalban knows what he believes and reality seems to be irrelevant.",sarc
"And many of those countries are having problems with it. Furthermore, we aren't even proposing what other countries have.",notsarc
"Zoos are indeed a good example. Although the environments are made as close as possible to the natural habitats, penguins are often kept in open-air enclosures in temperate or even tropical climates. And there are two critical differences in even the most carefully constructed zoo: the absence of any predators, and the absence of any prey. So why don't the animals quickly/purposefully/nonrandomly cease exhibiting developmentally costly traits which give them an advantage against predators or prey who aren't present?",notsarc
"Oh! I get it! abortion is fun, it is only a traumatic experience (to kill your unborn son/daughter) for ""unbalanced"" women",sarc
and a quote from jitobear:,notsarc
"Wow, you PROVED the Big Bang to be a big dud? I didn't see this clear refutation of a longheld scientific theory written up in any of the peer reviewed scientific journals. I must have overlooked it. Can you give the reference to your article?",sarc
"So Bush is responsible for the death of Third World mothers now?! Get real! There are billions of people on this planet, chose another vilian for a change.",sarc
"Well, man might someday gain the capability of fully synthasizing a molecule as complex as DNA from scratch. Of course, he would use the knowledge gained from studying how various DNA codes affect natural biological characteristics in order to properly design that DNA to achieve the desired characteristics. It might be even more difficult to then take that synthesized DNA and put it in an egg and artificial womb that has no natural (as opposed to artificial) biological parts, but even that might be achievable someday through chemical construction. All this means is that humanity might someday be able to copy the methods of nature to create a new being - perhaps even use creativity to create beings of very different natural functions than we see in our world.   It is all interesting to think about and could well be achievable within this century. We already are capable of a large degree of genetic manipulation through cloning and hybridization. One would think that it will only be a matter of time before more complex technologies get developed.   The other question, of course, is - If we could someday create new life using our technology, should we? That would bring up a whole host of issues, including:   - Would we know what we were doing well enough not to cause great harm?   - How would the beings we create be treated?",notsarc
"Good shooting! Got two illegal alien perps that had been deported for previous felonies and just committed another after illegally entering the country again.   WE NEED MORE JOE HORNS and a heck of a lot less bradies!   Is this the only case you could find of a CCW exercising his rights (you know the law applies to any citizen of Texas don't you and they need not be licensed?) completely justified in the Penal Code of Texas. Self-defense and defense of a third person or property is justified and required by law...IT IS YOUR PUBLIC DUTY.   Job well done Mr. Horn!!   How come you don't post links (deleted by poster)? This is old news, almost 3 years ago to be exact. Did you think it was sensational? LOL",notsarc
"If a woman does not want to be pregnant, she can abstain from sex.   It works!",sarc
Old news. There have been accusations of similar stories for years.,notsarc
"To me, part of the point of the ""please, no scripture"" comment would be to forgo any insistence that we worship God just because the bible says to.   A person could insist that sons pay some form of homage / respect to their father on Father's Fay, but I would argue that it's not reasonable to do so in every case. For example, if the father was physically or sexually abusive, or the father abandoned his children, those would be reasons to fore-go any Father's Day formalities.   And ""God"" could be viewed as the absent father. Suppose we assume that he created the earth and life on the earth. What's his involvement been since then?   Should we worship him just because he's God?   Or, depending upon how one sees God, is God a being unworthy of worship and idolization?   And along those lines, utilizing the Bible as a reference could be a double-edged sword. The ""God"" of the Old Testament ordered slavery, misogyny, genocide, women as spoils of war, ...",notsarc
"[quote=zsu2357;361463][quote=Penfold;361428]Wrong. It is a precision machine designed to kill effectively. It can be operated by other than human means.   Yes, you would be wrong.   No, they don't.   True, but nobody suggested there was such a grey area.   We accept your word.   I have never seen this, do you have examples?   So far as I am aware, nobody but you believes this to be the case.[/QUOT   ET phone home, fed-ex just delivered your case of 9mm shells lol.",sarc
"Oh? You worked on Bowling? When did the NRA and KKK ever burn a cross together? Hmmm? I can take a hint. Just something about that movie tells me Mike Moore is anti-gun.   Hey how about Chuck Hestons speech? Some how I got the impression he gave the speech in Denver? Did you? You know the 'from my dead hands speech'. Anyhow how did Chuck Heston get to wear TWO different suits from one speech?   Anyhow. If Mike Moore of Flint Michigan was behind that counter, would Mike Moore be alive? Survive with broken facial bones? Survive with internal injuries? Or overhelming beat his attacker that he survives unhurt and stopped his attacker?",sarc
I believe studies have already been done on that subject.,notsarc
And i dont really believe in god because he has shown us NO compelling evidence of his existance.,notsarc
"Really! Then I assume that you have read Darwin - at least On the Origin of Species. Otherwise you are babbling. Please cite specific passages from Darwin's books where he made ""morals and ethics"" a joke. Please also do the same for the works of Dawkins. Your assertion presumes that you have read the works of both men.",notsarc
And I would appreciate your refraining from calling your mythology a theory.,sarc
So you're going to live with the Amish eh?,sarc
"Actually, qualified biologists know no such thing. In fact, I've never known one who would agree with that assertion. Can you give us some peer reviewed references to support your assertion?",notsarc
Your wrong. Airplanes and courthouses are gun free zones but these places never have massacres.,notsarc
"Like the crusades and the inquisition? How about the Southern Baptist Convention, formed at the end of the Civil War with the express purpose to discriminate against blacks? And of course, the KKK and the Aryan Brotherhood make the same claims as you. Of course, you're going to tell me that you are a christian and they aren't. But when people tell me they are christians you aren't always around so I just never turn my back on them. That way, even if they are follow that strange pull to make a bad decision, I will at least have my eye on my money.",sarc
"think about what you just typed, that doesn't make any sense.",notsarc
"Yes it is, police aren't obligated by the US Constitution to protect individual citizens. If they were, lawsuits could be filed every time a crime is committed, and the police would go bankrupt really quick.",notsarc
"Well, now this is the question that really matters, and the answer is a long one. But to state it as simply as possible: denying same-sex marriage hurts many people. It forces same-sex couples to pay for the marriage of opposite-sex couples while no one is forced to pay for their marriages. It denies them access to raise children and ability to cover their children and spouses with their medical insurance, along with the many other benefits of marriage. It uses the law to teach the people that the lifestyle and religion held by same-sex couples is wrong, and this forces them to feel the disapproval of society.   There is no reason to perpetuate these harms. I have heard many arguments opposed to same-sex marriage, but there is not even one of them that justifies these harms. In fact, I would even say that there is not one argument against same-sex marriage that makes logical sense at all. Thus, even if same-sex marriage brought no benefits, there would be no reason to keep it illegal; a free and equal society does not deny rights or benefits to anyone, unless it has a very good reason to. And there just isn't any reason to deny rights and benefits to same-sex couples.",notsarc
Have you seen who our current President is?,sarc
You then cite the Wikipedia entry on Spencer:,notsarc
You lost me there. Try them how and for what?,notsarc
"Even new Justice Sotomayor, who claimed she ruled by precedent will be bound by the Heller Decision if she remains true to her purported philosophy. The debate between Sui Juris and Res Judicia should no longer be an issue with the liberals on this RIGHT! It either applies to all or it applies to none which would result as Justice W.O. Douglas wrote: ""a revolution"". It is in the government's (federal especially) best interests to keep our soldiers employed in foreign countries. BTW, I think the court decision in Nunn vs. State of Georgia did the best summation of this right!",notsarc
You mean like they are happy wile having sex?,sarc
"If this is true, then it should cover the fetus since there is no difference between the fetus and the infant besides size and location. Every adult was once a teen, every teen was once a child, every child was once an infant and every infant was once a fetus.",notsarc
