text,class
"Yes, with a crime rate larger than New York City, Chicago, Philadelphia, San Francisco, Los Angeles, Indianapolis, and Las Vegas, they're a wonderful example to follow, aren't they?",sarc
"The fear of God? What God? Only yours or any God? How about the fear of something greater than yourself? Would that be progress?   I'm not trying to inform you or anyone else of anything at this time. I posted thread originally to get reactions to it so that I could better judge whether those views were valid or not. As a side affect people may be influenced by the debates that happen here, but I am doing this for myself more than I am for anyone else. So don't think I'm trying to push anyone to believe anything, although I do wish for people to question their own views as a way to best understand what they believe in and why they believe it. Based on the way you posted here, it is my guess you are unwilling to do that in the case presented here.",notsarc
"Abstinence until you are old enough to handle sexual relationships responsibly should most certainly be preached along with information about and access to birth control.   There are plenty of us who have no interest in the institution of marriage - your religion should not determine who amongst is a sexually active adult. Not to mention we have got to stop pushing the gotta get married have a partner to be a happy seccuesful person message - ESPECIALLY TO GIRLS - it will lead to sex, for heaven forbid they be SINGLE.",sarc
"Oh really, so blowing yourself and a bunch of other innocent people up in the name of Allah is a ""great teaching""?",sarc
And you're accusing him of not debating properly? That's the best you can do?,sarc
And yet the species that exist today are the exact same as the species during the high oxygen content? That makes little sense. It's like saying the world was vastly different before yet perfectly suited for the species that exist today. That is COMPLETELY nonsensical.   Where did all of the oxygen go?,sarc
"Looks like you're not asking for objections to the conclusions and analysis this time around, like you were here. I guess it is wise only to argue on the grounds you know your opponent will find the most irritating or difficult.   At any R.A.T.E. (ha ha ha...), I'll repeat the objections raised on the old forum, which move to doubt the sufficiency of the empirical data:   From http://www.creationresearch.org/crsq...1_1/Helium.htm:   ""Thus our new diffusion data support the main hypothesis of the RATE research initiative: that God drastically accelerated the decay rates of long half-life nuclei during the earth's recent past.""   The empirical data is missing, Zero. The problem with the empirical data in support of the above statement, is that it does not exist.",sarc
Neither are yours. *GEE* *gasp* *amazement* *realization*   thistownwilleat-,sarc
"Stop telling me to look at the big picture when you've had both of your eyes gouged out!   Your entire statement here is beyond stupid. If the criminals felt that the only time to be armed was when their intended victims could fight back, then the criminals in DC would never be armed and the police wouldn't have needed to introduce gun shot sensors in the city. But since DC was the murder capital of the United States, that says an absence of hard targets isn't a guarantee that the abusers will play fair and not use weapons.",sarc
"We know that now, but not because the sun rises every day, because we have identified other evidence that proves heliocentrism.   The hypothesis ""the sun orbits the earth"" predicts it will rise and set every day, the hypothesis ""The earth is rotating"" predicts the same.",notsarc
"Yep it is easy. Lizards didn't evolve an avian lung.   This should be easy for the creationist:   The avian lung is far more efficient than the mammalian lung. Why didn't your god therefore fit the superior lung design to mammals, especially that apparent ""special creation"", us humans? Also please explain why he fitted a superior eye design to squid and octupuses than what he fitted to all vertibrates.   Once you have answered these two easy questions, I've a few hundred more for you",sarc
Prove your assertion that he has called himself a conservative Christian rather than a conservative Republican OP. Support your clai if you can or stop trying to lump everyone on the right together.,notsarc
"I'd be pretty dumb to buy something from someone who doesn't even believe in what they're selling. Those teachers may teach it, but they don't believe in it.",sarc
What a trite statement.,sarc
"See, this is where reading the page would have helped you out alot. No where does it say that organisms evolve with a changing environment. That's what WW would like it to say, but it says nothing of the sort. All it talks about is a different approach to modeling cell behavior. Critical reading skills, they're really essential if you're going to try to debate science.",sarc
"Yes. I believe it's a matter of personal individual freedom.   If purchased legally, and not used to commit a crime, what harm comes from handgun ownership? I don't own one, but I own many other guns. If they can ban handguns, what's to stop them from banning shotguns, or even BB guns?   I don't believe in a nanny state, taking away my toys ""for my own good"".   Waxy",notsarc
"(Playing devil's advocate)   And, by what authority would you deny a woman's ""right to choose"" an abortion that happens to be ""late in her pregnancy?""",sarc
Which demonstrates your failure to see the big picture.,sarc
"Why you quoted me is questionable. What I posted was merely a series of mathematical equations proving that Hovind is completely full of ****. How you consider mathematical equations ""mockery"" I don't know, but more likely, you did not bother to watch the video. Instead, in your normal fashion, you simply ASSUMED what you wanted to believe and then went from there rather then actually looking at what it was and what it had to say.   Your post more accurately is towards the link that AA posted in defense of his beliefs (yet failed to realize was satirizing those beliefs). Furthermore, I'm not an atheist even though your poor definition wants me to be.",sarc
"Yes they sure will.... with what 776 accidental deaths last year due to guns as opposed to 3,402 accidental drownings seems like more should be spent on preventing drownings than guns. But if your intellect is not up to understanding hyperbole (literary form of exageration to express a point) I will try in the future to keep it down to your level.",sarc
"You are apparently unwilling to extend your thinking process to the other side of the argument Galileo, and by this I mean, and repeat that it isn't criminals owning hand guns which we defenders of gun rights are fighting for. WE AGREE THAT CRIMINALS SHOULDN'T BE ARMED, and the laws already exist on the books to punish them when convicted criminals are caught with guns. But your solution to disarm all honest citizens in the belief that this will make them unavailable to criminals also is ludicrous to the point of self destructive insanity. It is that premise which we are fighting against through the NRA and other lobbying efforts.",sarc
"And, what percentage is that? How was the poll conducted? Who conducted it? How was the determination made about who was a 'scientist'?",notsarc
"So indignities offered our citizens will be tolerated if dispensed in small doses?   Maybe we might educate the pirates what they should ""know better"" than to try.   My taxes pay to have a Navy presence around the world. Americans are American interests.",notsarc
But they consider the exact same thing inside a human that has yet to be implanted a pregnancy?   Double standards much?,sarc
"Math is confusing too, doesn't mean we should get rid of it.",sarc
A taste of what could be our future if the left has its way.,notsarc
Oh. Then you're just a dupe rather than being dishonest. Your information comes from a moonie. Funny that the Discovery Institute doesn't mention that. The fact that he decided to study biology with the express purpose of disproving evolution. So he had made up his mind that it was wrong before he undertook to find out what is was. Wells was encouraged by the Rev. Moon. He is known selective presentation of data.,sarc
"oh, it's obvious that non-darwinists have no affect on you guys. Nothing will ever change your mind because your mind is not made up on the evidence...it's made up on your worldview and your belief in materialism.",sarc
"Thanks, my friend, as you can see, Jito completely ignored the substance of my argument as it applies to the current american culture, as she responded to how it would apply to her personal life's credo. A more dishonest way of avoiding the meat of my argument couldn't be formed except by a manipulative, insincere and philosophical coward of jitobear's caliber. That's why there's nothing she wrote that's worth responding to. As usual she hasn't actually responded to anything I said. Why must these leftists twist what we say as they ignore the actual substance of it?",notsarc
First of all not all Astronomers believe that.   All though it is a very long way to the closest star we really don't know how far stars are away from us it is not possible to know. It is an educated guess at best.   If you base your beliefs on science you will almost always have to change them so are they really beliefs?   Time and distance are 2 different entities. On the other side of the world it is a diffferent day.   A light year is the distance light would travel in a year if at the speed we have computed it to be on earth. How gravity affects light in space in pure specualtion as almost all of the cosmological theories are. Black holes were created to explain the big bang. There are lots of astonomers that are convinced the big bang is a myth.   If the stars were created near the earth and then streched out as the Bible says they were the relationship of time and distance would be quite different and would explain how light from a distant star could be seen.   No one really knows the answer so it is a matter of faith what you decide is true.   Both are possible according to science. The powers that be in science are atheist and get the most press. This does not make them right by default.   There is a very good book on this subject Starlight and Time if you are interested in what a brilliant scientist who believes in Creation has to say.   I will be suprised if you are.   I have read Hawkings and have him on audio and video.   To be fair you should take some time and study the opposing view IMO.,notsarc
"Atheism is for cynical, self-righteous twits",sarc
