text,class
But you can't. You may imagine it but you can't present evidence that supports your position. You can only argue against what you don't understand in the first place. I generally make it a rule to keep my mouth shut unless I have actually had the integrity to educate myself about the basics of a topic. You don't seem to do the same.,notsarc
"Because it works. How much money is pumped into microchip design and production? IBM engineers must be so corrupt; the temptation to lie about quantum theory so they can pretend to offer faster processors must be overwhelming! And don't get me started on the evolutionary algorithms they use - clear evidence of atheist bias and lying. As if evolution could design better microchips!   Research based on evolutionary theory is well funded because there's massive potential for return on investment. Who funds ICR? If you're so keen to follow the money, at least do it consistently.",sarc
"And God lives in Heaven, with Jesus sitting on the right side of Him.",sarc
"Well then who do I have to call? I'd like to report Brady for being in possession of 13,000 rounds of restricted armor piercing ammunition and 100 guns, most of which have been illegally modified for full-auto firing capabilities, as well as an uncounted number of IEDs.   The link doesn't work, BTW.",sarc
"Nope. Not part of evolutionary theory. It would be stupid to claim that increased genetic variability would ""disallow"" any portion of the population from breeding.",notsarc
Props for what? Refusing to read your middle school biology textbook?,sarc
So they're failing because they're XXXXXX?,sarc
"So what standards of proof do you hold the bible to? What allows you to hold it next to other religious or fantastical texts and say ""Yes, this one is definately, without fail, the word of God, and this one is not.""",notsarc
Abstinance?! Heaven forbid.,sarc
"Actually, no, they do NOT. The first three ALL describe God causing them - are you saying the bible is describing God's actions negatively? Or are you saying that killing your precious foetuses is just fine as long as the persons carrying them are ""wicked"". Sorry, but you need to get an argument, Phyllis.   +++++++++++++++++++++++++++++++++++++++++++   Spelling and grammar for this post has been checked and cleared   +++++++++++++++++++++++++++++++++++++++++++",sarc
You just say this because you want to murder helpless wromb-trapped human beings. You cannot just say you personally believe something in a debate.,sarc
If you dont believe that muslims love life they will cut your head right off! Its an easy choice if you ask me.,sarc
"So, why don't you give it a try???",sarc
"Tiger is entitled. Because of his money and fame, he's entitled to some hot and not-so-hot action.",sarc
Bob!!!! You're bad!!!!,sarc
"Now you are being insulting. Evolution makes no statments about your god. For that matter, neither does cosmology, astronomy, chemistry, physics or geology.",sarc
"I think your idea has merit. However, before I would fully endorse it, I am interested in how you see it being implemented and administered from the standpoint of equal protection under the law.",notsarc
Humans cannot cleanse themselves of their sins.,notsarc
How do you know if they WANT to believe in a deity? They simply don't.,sarc
