text,class
Uh...yeah? Is there some other way than evolution this can happen? Evolution encompasses speciation which results from evolution taking different paths when populations are separated by some factor in their environment or geographically.   Are you saying you believe that the species have all somehow resulted from a common genome yet at the same time rejecting evolution as an explanation?,notsarc
"Yes, amazing, how they weren't people before.",sarc
"If logic was invented by man that would mean that when people did not exist neither did logic. That does not sound logical to me. Most people believe there is life eleswhere in the universe (I'm not saying I do but I just want to illustrate a point). If logic was invented by man does that mean aliens elsewhere in the universe do not have logic to guide them?   Just a question.   ""In Christ are hidden all the treasures of wisdom and knowledge."" (Colossians 2:3)",notsarc
"I'd rather be ""offed"" than to live with a wild eyed screaming banshee like yourself setting policy and demanding impossible tasks.   Are the police SOB'S too? I don't suppose you would object to the friendly neighborhood rapist getting shot by a gun owning neighbor now would you?",sarc
"just how i said it...   opinion...   like, what you think   of it",notsarc
What's your definition of pure?,sarc
"Because violent crime and violent criminals is something that I can't control. Heart disease, that can be worked on with good diet, exercise and medicine if necessary. It's manageable, controllable and can be avoided. You can't do that with a violent criminal.",notsarc
Props for what? Refusing to read your middle school biology textbook?,sarc
So you are not an American? You believe that your religion should be forced on everyone by the government? Is it OK if I am allowed to teach your children my religion?,sarc
"Oh, good, I get to do this again! They're not Christians, just like Judge Jones isn't a Lutheran. (Your foot should still be in your mouth over that one, but you never learn.) They're all phonies, aren't they, marc? Lucky for marc, he can accurately assess people's belief systems without knowing the slightest thing about their beliefs. But I have this ""power,"" too:marc is an atheist. Sure, he says all this fundie Christian stuff, but he's really an atheist. I know it in my heart because my own belief system, infallible and based upon the teachings of God himself, tells me so. I know, because I know Christians, and marc's not a Christian. He's just a big phony.   And there you go... atheist. Clearly, I've correctly labeled you, and you are nothing but a false teacher.Pathetic, marc. Absolutely, positively pathetic.",sarc
What does a mutation have to do with a heart transplant? What are you smoking?,notsarc
But wouldn't it make it more likely that a gun dealer that was involved in gun trafficking would be audited and caught by the ATF? If there are less FFLs then the ATF has more time to monitor and inspect each gun dealer.,notsarc
"Excuse me, I stand corrected. For 'pretend' please substitute 'wrongly believe'.",sarc
"Look over the Heller ruling again. All nine judges agreed unanimously that the Second Amendment protected a right that was wholly individual in nature. The only disagreement was whether the right still applied today.   And no, the individual states and cities shouldn't be allowed to set their own standards for a constitutional right, that flies in the face of the 14th Amendment. And worse, you're arguing for precedent that would basically allow the various states to not respect your other rights; they could ban the shirt you choose to wear because it's offensive to some small, insignificant minority somewhere.",notsarc
"And amusingly enough, you who claim you don't have any interest in changing the outcome spend soooo much time posting on these threads...   Perhaps that's another claim that's just false in your opinion?",sarc
"In my lifetime, we've made huge strides, but there's a lot more to learn.",sarc
"If a child comes in for an abortion and fears abuse from her parents then law enforcement should be notified. The only people protected by opposing notification laws are abusers and pedophiles. No elective, invasive medical proceedure should be performed on a child without the consent of a parent or judge.   If a minor is allowed to have an abortion without consent the parents/ guardians will have no idea whats been done to this child should complications arise, they wouldn't be able to give this information to a ER doctor or the childs pediatrition.",notsarc
"Oh, well, that convinces me.",sarc
Actually I think most people DO realize this.,notsarc
just re-emphasizing,notsarc
"Fetal Homocide? Toddler Homicide? A human in different stages of development.....Why/or What is the difference?And if someone wanted this legal( Toddler Homicide) ...I don't see much anybody could do legally to stop it..   When women kill their tots they are locked up/ and branded with a criminal record vs the female who callously kills durning the fetal stage.(Double standard?)   I have a couple friends, who have aborted more than once, because they didn't want to lose their girly figure(trivial). I find it eerie and disturbion.....",notsarc
"Then 99% of creationists are not informed as far as I can tell. It seems that your position is that ""informed"" creationists are neo-Darwinists, fully accepting of the theories of evolution.",sarc
"http://www.dcagenda.com/2010/02/08/m...asure-in-poll/   Keep in mind that this is an opinion poll, so take it for what its worth, but it seems to indicate that the people of DC wanted to vote on this issue.",notsarc
"Ahh. Now I see why you turned into an agnostic, if you even believed Christianity in the first place.",sarc
"Why is it when Creo's don't believe something, Evo's always think because they have studies or what have you that we Creo's have to accept it as proof. I mean you don't accept anything as proof from Creo's. If Creo's did some carbon testing and did it accurately and got some anomaly's, you'd still reject it. I didn't lie not even by ignorance. I just don't believe it's true, but I take it I'm not allowed my beliefs . What fact has disproved my worldview, my worldview is intact as it ever has been?",notsarc
The comment of someone with an IQ of about 48.   Ray M.,sarc
"I am hardly a phyicist, but I am under the impression that there is at least some people who feel there is reason that there are 'uncaused causes'. I think that   the terms used are 'Vacuum flucuations', and 'virtual particles'. I am not aware   of any peer reviewed articles on it , but a popular press book is 'Achilles in the quantum world' by Richard Morris.",notsarc
"I'm thinking this is the section of the Iowa Constitution the media will be talking about next:   Unlike California, amendments in Iowa must pass the legislature first (simple majority) before going to the voters. While I know little about the Iowa legislature, this seems a no brainer in a populace vote, considering previous votes and more current polls on this subject in Iowa. As a rule I lend polls very little credence, but DOMA passed by a wide majority in 1998. I doubt things have changed enough to cover the gap, a lot of traditional values and religious folks in Iowa.",notsarc
"Nor is there any need for some mythical molecular elemental, nebulas natural selection, or mystical transitionals based on peicemeal forensics and antithestic rhetoric.",sarc
