text,class
"Except that it does nothing of the sort... But then, what can we expect from somebody citing a website trying to sell you liquid vitamin supplement...   Nevertheless, we look into the Pottenger's cats claim.   Here is a page called, ""Lesson of the Pottenger's Cats Experiment: cats are not humans."" Although it's a page aimed at explaining why this ""experiment"" is not applicable to humans, it exposes the other, erm, flaws in this experiment. The one striking me based on the wikipedia list of diets for the groups should be obvious to everyone: many of these cats were being deprived of protein. This page confirms and elaborates. In fact, its first point is that today's cats have no problem reproducing for several generations on today's cooked food. The difference is that good owners don't feed their pets deficient diets.   The real irony here is that this experiment -- were it reliable -- would be the antithesis of supersport's Lamarckism. In order for supersport to be supported, the cats being fed inadequate diets would re-develop those broken pathways for manufacturing essential amino acids. Obviously, they did not. The only thing we see here is the effect of poor (i.e. positively malnutritive) diet.   We can conclude that supersport's Morton's demon is pretty much in full control. There's no other explanation for somebody seeing this experiment and thinking it supports Lamarckism, or even counters evolutionary theory, even if he doesn't know the basics of experimentation and nutrition.",sarc
"Sure let me have your sermon/propaganda of misinformation since it doesn't match the context of the Scriptures.   propaganda   n : information that is spread for the purpose of promoting some cause.   mis·in·form  Pronunciation Key (msn-fÃ´rm)   tr.v. mis·in·formed, mis·in·form·ing, mis·in·forms   To provide with incorrect information.   con·text Pronunciation Key (kntkst) n.   1. The part of a text or statement that surrounds a particular word or passage and determines its meaning.   2. The circumstances in which an event occurs; a setting.   And since your ""experience"" does not guarantee you to be an expert I will stick to the context which matches what I have said.   Job 32: 4 And Elihu had waited for Job with words, because they were older than he in days. 5 When Elihu saw that there was no answer in the mouth of the three men, then his anger burned. 6 And Elihu the son of Barachel the Buzite answered and said, I am young, and you are very aged; so I held back and was afraid to make my knowledge known to you. 7 I said, Days will speak, and many years will make wisdom known. 8 But it is a spirit in man giving them perception, even the breath of the Almighty. 9 It is not the great that are wise, nor the aged who perceive justice; 10 so then I say, Listen to me; I will declare my knowledge, I also.",sarc
"Actually, Peeling and others on this thread have proven you and Cash to be utterly wrong. The fact you don't recognize this is irrelevant.",notsarc
Why is that propoganda? It's exactly what you do.,notsarc
"In my lifetime, we've made huge strides, but there's a lot more to learn.",sarc
"Oh, ok, I can be politically correct if it makes you feel better. How about I refer to them as ""intelligence deficient"". And I was really not referring to bona fide ""retarded"" individuals (those with true pathology). I agree that there is nothing funny about that. How about I refer to them as people who drive like XXXXXX...Is that better?",sarc
"I never said anything about a conspiracy Peeling. I very clearly gave valid reasons to Consider that scientific GRANTS and pay increases for these scientists are based on making new and previously undiscovered claims that forward the science. That is the greatest motivation to lie, cheat, create and falsify evidence which adds to the scientists personal wealth and further promotes a false science that is rife with selfish motivations to preserve, protect and promote it.",notsarc
"You're getting rusty NATO.   It was a college campus. Guns ARE banned where this happened.   Maybe simone can explain yet another instance of a shooting in a ""gun free zone""?   How many of these shootings on ""gun free"" college campuses need to happen before we ever get a comment on how these bans are working so well?   I mean, after an average of once a week, you would think suggesting banning guns would be a laughable suggestion. Yet, after every shooting where guns are completely banned, there seems to be a suggestion that we need stricter gun control. How do you get tighter than 100% forbidden?   Anyone care to state the definition of insanity for posterity?",sarc
There you go. It's difficult to find which side of your mouth to talk out of when the facts are the facts!,sarc
"So you're saying that the ones who're eligible to carry a gun, those who're 21 or older, never been convicted of a crime, undergo fingerprinting, pay hundreds of dollars, attend an eight hour course held by the police, pass a firearms safety class, and weight three months to finally get their permit, would intentionally use it as an excuse to murder a teacher over a trivial matter like an unfavorable grade?   Wouldn't it just be easier, as well as more likely, for an emotionally disturbed student to just illegally bring a gun to school and kill their teacher, rather than waiting for a legal alternative to commit murder and go to prison anyway?",sarc
