text,class
"Ah, I see.   Your reasons are secret reasons. On a debate forum, about gay rights, you oppose it based on....well you won't say! Nice debate.   Who's really playing the game here?   I have already listed on a number of posts why it's not constitutional.   Since you missed it (It's only the first post in the thread)   For gay coupes right to be married (Or the same legal status)   1. Human rights with regards to legal classifcation and the benefits therein are desired by comitted consenting adults of the same gender.   2. It's a contract between two consenting adults.   3. A contract that does not violate anyone's legal rights or cause any significant ill effects to the public welfare.   It's unconstitutional to allow one group of people access to marriage rights (hetero couples only), and not allow it to female/female and male/male couples when they are obviously lobbying for it in significant numbers. It's now a public issue on a significant scale.   Of course, maybe if you had a REASON for objecting to gays being treated equally with regards to the rights of marriage, we would understand not only why you are reluctant to back your claim, but why your reason is also not constitutional.   You can call it games, I call it justifying my position while pointing out how opponents of gay rights, such as yourself, really can't make any reasonable justification for their desire to restrict human rights, other than saying ""well I want to""...or in your case... ""shhh...it's a secret"".   You know what WE call it on the debate forum when one side refuses to present or rebut arguments? Losing the debate. I realize winning and losing..i.e. being right and being wrong are not concepts found in religion, where anything goes...but out here in the real world actions have consequences, and words...yes, imagine that, have specific meanings. You verbally support a movement that restricts human rights, yet won't give us reasons for your position. I find that appalling. Yet you are content with labeling me as ""playing games"". How ironic.   -Mach",sarc
So did you read his mind to determine exactly why he bolded that particular set of words? You are the first mind reader I have encountered here. And considering your disdain and rejection of science from cosmology to biology what does it matter if something is terrible science. According to you all science should be terrible. Why do you attempt to use a tool which you reject as being useful?,sarc
False. See above.,notsarc
"You need to read what people say more thoroughly, and think about it before you respond. When he said ""can"" (and there are not many simpler words than that!) It didn't mean ""will"", ""must"", or ""shall"" be more aggressive. It has been shown that in some cases it ""CAN"" happen. It may not have happened with you. It still might, we don't know. We might even say that it is not likely to happen, but we can't say that it won't, because sometimes some people do behave more aggressively when they have a gun.",notsarc
"(Note the key word ""also,"" which admits that it's human).   As for the rest, This is more of the sort of ""defensive rationalization"" I talked about earlier, i.e. when people find it more rewarding to self-righteously defend their wrongdoings and thus shirk their responsibility to others, than to shoulder the burdens to those they have harmed, and thus they act in self-absorbed narcissism and sociopathic dissociation, while likewise waxing arrogant in self-deceiving affirmation of their own ""brilliance"" and other superiority to do as they please, by simply denying said consequences however obvious-- illustrated here, by simply calling a fetus a ""parasite"" and thus daintily strutting off away from one's obvious duties to it, despite admitting it's also human.   However, a human being forced into dependency on another for its life, is not a ""parasite,"" but a VICTIM, and thus has the right to aid from the ones responsible for that dependency.   Since you've admitted that it's human, then the remainder is plain; it also has the right to aid from the one responsible for its dependency, i.e. the man and woman in question who proximately caused it to be in its dependent situation through their willful actions in full knowledge of that risk.   Here, the doctrine of Strict Liability would apply, in that normal sexual contact carries the inherent risk of pregnancy.   This doctrine already applies to men, and should likewise apply to women who choose to abort in spite of their responsibility to the prenatal human in question, created and made dependent on her for its life through her intentional actions.",notsarc
"Apparently, all them dinosaurs were just too dumb to climb to higher ground or swim (despite the fact that animals are among the first to do so in disasters - example would be the tsunami in Christmas 2004) All of this also avoids the flying reptiles such as the Pteranodons.   Also, apparently humans are unique in that they are the only ones whose corpses bload and float to the water's surface.   What garbage will they come up with next?",notsarc
Just when you think WW's debating skills can't get any worse...,sarc
"No, it's not an ""inability"" at all. It's a simple matter of you trying to take what IS a religious issue for many people and divorce it from religion altogether. That's not going to happen for many people.   And BTW, if you are going to refer to people as ""Antis"", at least be upfront about what you feel they are ""anti-"" toward. ""Anti-gay?"" ""Anti-gay marriage?"" What?   But behind that are deeper, more fundamental issues about what homosexuality IS and the morality of it. To many people who view homoseuxality as immoral, your movement seems to be trying to write immorality into law.",notsarc
How many opponents of liberal gun laws live in urban areas?,notsarc
"Yep it is easy. Lizards didn't evolve an avian lung.   This should be easy for the creationist:   The avian lung is far more efficient than the mammalian lung. Why didn't your god therefore fit the superior lung design to mammals, especially that apparent ""special creation"", us humans? Also please explain why he fitted a superior eye design to squid and octupuses than what he fitted to all vertibrates.   Once you have answered these two easy questions, I've a few hundred more for you",sarc
Then you are just throwing around words without knowing what they mean. Instead you give me a link to a page of pseudoscience. Are those the ones who lied to you?,notsarc
You stand up for women..   I stand up for the child who has no choice   Who's being descrimatory here?,notsarc
Oh! mememe! I have an idea!   The museum staff hire (or possibly abduct) a few evolutionists and put them in stocks. The visiting kids then come to the gallery to give Mum and Dad a break for an hour and get to ask the scientists questions about the origin of the earth and why fossils are different from things alive today. Each time an evolutionist gives an answer based on science they get pelted with the leftover veg from the dino pit lunchtime display. This way the kids learn an important lesson in how to deal with scientists as well as being good for the environment by putting all that veg the dinos wouldn't eat to good use! Yay!,sarc
"Well, the slavery analogy for gay rights is past it's applicability at this point--one was a property issue (also rooted in deep prejudice), the other is a morality issue. Many people oppose gay marriage out of morality and NOT prejudice. The same can't be said for slavery. There are many ways that the analogy doesn't work and that's just one of them. In fact, it could as easily be an analogy to reverse it and say that the ones who did the enslaving were analogous to gay rights lobbyists and the abolitionists were analogous to those who seek to protect marriage. After all, the plantation owners were the ones really fighting for ill-conceived rights--rights that they shouldn't have had.",notsarc
"Notice that even in this version there are elipses just before the quote in question. My bet is if we were to actually refer to this 44 years old book, Simpson would not be saying what Toxey wants him to say.",notsarc
"And you have just described ""creation science."" No application of the scientific method. No testing. The conclusions are known before the judicious quoting of scientific authority has even begun. I notice that you use one of those quotes of a scientific authority below. You show that you are what you decry.",sarc
"Well, you have ""proved"" that the U.S. health insurance does not have any higher administrative cost than Medicare or the rest od the industrialized world. I think your problem is that you are convinced in your head that that in our healthcare there is no waste. And you are trying to square it with the obvious fact that our cost is the highest with nothing to show for it. You will have to admit that there is waste.   For example we have 5x as many MRI scanners than we need, we perform too many tests, we have high adminstrative cost. All these costs will be reduced. There will be fewer of these things PER INSURED. I do not know how many times I have to repeat this before you get it. The volume of this work PER INSURED will decrease. Do you understand that?",notsarc
"You mean that hole that has been observed and proven, repeatedly? Climate Change is a controversy in the same way as the earth being broadly spherical is a controversy. There's a group of nutters who think the earth is flat; doesn't mean there is any reason to believe it is.",sarc
You could try to be a good person and nevermind about the hocus pocus stuff. I'm not tryimg to convince you of anything. The fact is that what you use a reasons to believe don't hold up under logical scrutiny. Don't justify faith with logic. That only cheapens faith.,notsarc
"Wouldn't it be wonderful if, in this male-centered world, drugs were designed to be women-friendly, especially pregnant women-friendly?",sarc
"Oh I'm so sure that's the case. ""Well the economy's at the worst I've ever seen and I don't have a job and can't possibly provide a living for my family and we're in danger of losing our house and living on the streets, but I don't think I'll save us all a lot of pain and agony because I don't have a gun meaning that it'll just be too much work to kill ourselves.""   Yeah right, like a lack of having a gun would've kept this family from dying in this instance. Your comments cheapen the value of life.",sarc
"We have a terrorist supporter among us, objecting to restrictions on terrorists! Why do you hate America?",sarc
"And would you care to tell us just what those ""official ideological goals"" are and where we might find a certifiable copy of them?",sarc
"Yes. it's called global dimming, and yes, I trust mainstream scientific organizations.   If you knew anything about science, scientists usuallyspeak in terms of COULDS, possibliites, and likely, because science isn't 100% and scientific facts aren't absolute. THey are largely evidence-supported conjectures. You can't prove anything 100%. They are giving reasonable estimates. That's how climatology works.",sarc
You then cite the Wikipedia entry on Spencer:,notsarc
"You not differentiating between the beaver and the beaver dam, the bird and the bird's nest or the man and the man's truck. The dams, nests and truck do not occur naturally...they are constructed by the naturally occuring animals using materials that occur in nature (albeit we have to smelt the iron and vulcanize the rubber whilst the birds and beavers just stick stuff together).",notsarc
"So it would be more loving to severely beat the child...forever?   ""Hey Timmy, remember when you were 3 and you wrote on the wall with that crayon? *BAM* *SMACK*""",sarc
and she would have been better by aborting the baby? That makes no sense. Instead of seeing your baby die naturally you would rather not look and kill it yourself. The same person died no matter how you look at it.,sarc
Prove your assertion that he has called himself a conservative Christian rather than a conservative Republican OP. Support your clai if you can or stop trying to lump everyone on the right together.,notsarc
"How can they? If they exist in the mind and not on there own, then I can chose not do think about or believe in these laws (Bivalency, Involution, Idempotency,Identity, (Non-)Contradiction, Excluded Middle, Contraction, Commutatively, DeMorgan's, Associatively, Distributivity) and they stop existing? Or I could say, ""hofflenosh"" is a concept I think is stupid and does not exist, come to think of it, the law of excluded middle is a stupid concept so it does not exist either. If is existed only in the mined, it would not be absolute. It would be your opinion of the law of logic existing against someone that says they do not exist.",sarc
Am i stupid or something... whats a YEC? Young Energetic Children?   Yacking Economistic Critters Yummy expensive cupcakes?   Maybe im just dumb or something... i hope it was one of those three for my sake.,sarc
Rofl… What were they supposed to do if they stayed in the egg longer with more time to feed off of it? Shrink?,sarc
"Funny. It is you who have ""abso-freaking-lutely"" no qualms about forcing gays and lesbians to pony up dough for Mr and Mrs. John Q Taxpayers marriage and divorce, all the whie denying them the chance to follow the same course as Mr. and Mrs. John Q. Taxpayer.   You my friend are a complete hypocrite. Either give them marriage or quite taxing them to help yours.   On another topic, I find it sad that you were ever given the position of moderator with your hateful and dishonest posts like this one. Very glad that it was stripped from you.",sarc
Because those who are pro life are against a womens right to own her own body. Her body her choice and none of anyone elses business. Remember control freaks are everywhere.,sarc
"Yes, they do show a faithful devotion to the ultimate reality that there are no gods. You're an atheist, aren't you?",notsarc
"Somehow I don't think a high percentage of Ham's ""facts"" are facts.",notsarc
"My my, did someone get up on the wrong side of the bed or what, of course you realize that you just gave me the answer I was looking for, not that I didnt already know the answer, I just wanted you to say it. I dont believe I need a clue, so I will let you have it instead Brady.",sarc
"So you know how foolish you are and hope that name calling will distract from that being recognized by everyone. Erectus skulls were smaller because the brain was smaller. You brought up KNM-WT 15000 (Turkana Boy) and you weren't even aware that as an adult he would have been about 6'1"" tall? Why is his skull smaller than modern humans?",notsarc
You jsut don't get it. You act like two wolves and a sheep voting on what to have for lunch. You as a hetero get to go and get married to the person of your choice but I do not. What part of that do you not understand. You say this isn't personal and for you this is true but for me the man I love is nothing but a stranger to me in the eyes of the law. How cruel can you be,sarc
"Well nobody has turned up the Ark have they, termites could assure that if properly used. After 40 days and more they would be ravenous.",sarc
"Seeing the article you linked to was written in 2002, over three years ago, do you think the author could perhaps incorporate the new data and rename his piece, ""Maybe There Is Some Truth About Pedophile Priests After All""?",sarc
